index,index at directory,label,link,number of tokens,number of verbs,number of subjunctive and imperative verbs,number of adjectives,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,percentage of news with speeling errors,emotiveness,diversity
49,1583-meta.txt,fake,https://www.diariodobrasil.org/defesa-de-cunha-alega-que-seu-cliente-sofre-de-aneurisma-e-pede-que-sergio-moro-o-liberte/,135,18,2,4,0,0,6,0.0,0.163636,0.731092
50,420-meta.txt,fake,https://www.diariodobrasil.org/perguntaram-para-trump-se-ele-iria-se-encontrar-com-temer-ele-respondeu-pra-que/,198,25,3,5,0,0,15,0.0,0.169014,0.69375
51,3252-meta.txt,fake,https://www.diariodobrasil.org/lula-assume-que-frequenta-sitio-reformado-pela-odebrecht-mas-diz-que-o-imovel-nao-e-dele/,242,20,0,5,0,0,5,0.0,0.0967742,0.557692
52,884-meta.txt,fake,https://www.diariodobrasil.org/kim-jong-un-prova-que-e-lunatico-amo-a-paz-mas-nenhum-americano-saira-vivo-daqui/,32,5,0,2,0,0,1,0.0,0.142857,1.0
53,2831-meta.txt,fake,https://www.diariodobrasil.org/ta-explicado-deputado-que-tentou-anular-impeachment-esta-atolado-em-dividas/,130,17,0,8,0,0,7,0.0,0.25,0.727273
54,990-meta.txt,fake,https://www.diariodobrasil.org/cachorro-estende-a-pata-para-ajudar-idoso-bebado-a-subir-na-plataforma-de-trem/,122,24,1,8,0,0,3,0.0,0.304348,0.673077
55,3570-meta.txt,fake,https://www.diariodobrasil.org/general-do-exercito-avisa-estamos-em-uma-situacao-extremamente-dificil-mas-jamais-agiremos-contra-o-povo/,255,44,2,6,1,0,11,0.0,0.163462,0.652778
56,2349-meta.txt,fake,https://www.diariodobrasil.org/gleisi-posta-foto-com-dilma-no-circo-da-democracia-e-internauta-mita-agora-sim-estao-no-lugar-certo/,176,31,0,6,0,0,9,0.02,0.208333,0.72
57,2784-meta.txt,fake,https://www.diariodobrasil.org/dilma-grampeou-sergio-moro-michel-temer-e-ministros-do-stf/,139,15,0,5,0,0,2,0.0,0.116667,0.642276
58,2210-meta.txt,fake,https://www.diariodobrasil.org/grampo-mostra-lula-conspirando-agora-e-guerra-um-delegado-nao-pode-desrespeitar-um-politico-vai-tomar-no/,154,29,2,6,1,0,6,0.0,0.223881,0.73913
59,917-meta.txt,fake,https://www.diariodobrasil.org/nem-o-cavalo-suportou-paula-fernandes-cantora-leva-mordida-na-barriga-ao-acariciar-o-animal/,129,23,0,2,0,0,7,0.0,0.153846,0.752475
60,2545-meta.txt,fake,https://www.diariodobrasil.org/temer-diz-que-tomara-medidas-impopulares-traduzindo-la-vem-imposto/,168,31,2,14,2,0,8,0.0,0.430769,0.717391
61,3186-meta.txt,fake,https://www.diariodobrasil.org/denuncia-do-sindicato-dos-correios-dilma-usou-carteiros-como-cabos-eleitorais-durante-campanha/,104,15,3,5,0,0,5,0.0,0.2,0.795455
62,2395-meta.txt,fake,https://www.diariodobrasil.org/objetivo-de-lula-na-onu-e-obter-asilo-politico-espanha-italia-e-pasmem-ate-cuba-ja-rechacaram-o-petista/,1116,153,9,45,1,2,63,0.00724638,0.229508,0.494824
63,389-meta.txt,fake,https://www.diariodobrasil.org/em-video-atriz-pede-para-defensores-de-lula-invadirem-o-trf-4/,356,58,0,19,1,1,18,0.0,0.228571,0.585209
64,1778-meta.txt,fake,https://www.diariodobrasil.org/o-pt-corrompeu-o-mundo-37-paises-fecham-acordo-com-a-lava-jato/,181,20,3,7,0,0,6,0.00699301,0.146667,0.748252
65,1195-meta.txt,fake,https://www.diariodobrasil.org/quebra-pau-na-camara-dos-deputados-brasilia-esta-fervendo/,75,16,1,3,0,0,2,0.0,0.111111,0.848485
66,1045-meta.txt,fake,https://www.diariodobrasil.org/g20-trump-foi-ironico-ao-elogiar-o-brasil-e-temer-acreditou/,198,34,1,10,0,0,6,0.0,0.289474,0.666667
67,255-meta.txt,fake,http://www.thejornalbrasil.com.br/2017/09/trump-presidente-dos-eua-t-ira-apoiar.html,117,15,0,11,0,0,3,0.0,0.272727,0.733333
68,536-meta.txt,fake,https://www.diariodobrasil.org/segundo-pha-racismo-na-globo-e-coisa-antiga-roberto-marinho-nao-queria-um-negro-apresentando-o-jn/,196,23,0,7,0,0,5,0.00613497,0.166667,0.748466
69,2045-meta.txt,fake,https://www.diariodobrasil.org/reporter-gagueja-ao-dar-noticia-e-deixa-escapar-que-o-chefao-podera-ser-preso-neste-fim-de-semana-sera/,185,38,0,5,0,1,14,0.0128205,0.231884,0.673077
70,1123-meta.txt,fake,https://www.diariodobrasil.org/de-acordo-com-gilmar-mendes-sergio-moro-e-deltan-dallagnol-sao-cretinos-que-deliram/,189,26,1,7,0,0,10,0.0,0.189189,0.65
71,995-meta.txt,fake,https://www.diariodobrasil.org/ft-o-julgamento-de-um-populista-que-usou-dinheiro-publico-e-ajudou-a-afundar-o-brasilll/,185,27,0,9,0,0,10,0.0,0.178082,0.619632
72,2392-meta.txt,fake,https://www.diariodobrasil.org/michel-temer-podera-ser-candidato-em-2018-impeachment-foi-uma-trapaca09/,180,31,2,7,0,0,6,0.0,0.236111,0.701987
73,3514-meta.txt,fake,https://www.diariodobrasil.org/capital-do-pais-vira-terra-de-ninguem-estamos-armados-e-se-houver-retirada-vai-ser-uma-carnificina/,304,54,4,9,0,0,16,0.0,0.146341,0.63745
74,1311-meta.txt,fake,https://www.diariodobrasil.org/presidente-dos-eua-faz-alerta-a-onu-e-declara-a-hora-de-tomar-uma-acao-e-agora/,159,22,1,11,0,0,2,0.0,0.230769,0.708029
75,603-meta.txt,fake,https://www.diariodobrasil.org/estancando-a-sangria-parte-2-governo-fara-cortes-no-exercito-brasileiro-para-economizar-valor-pifio/,307,28,1,14,0,0,8,0.0,0.201835,0.628253
76,3184-meta.txt,fake,https://www.diariodobrasil.org/pf-pediu-prisao-de-ex-sindicalista-funcionario-da-oi-ele-seria-o-responsavel-pela-torre-do-lula/,268,21,0,14,0,0,7,0.00421941,0.215686,0.599156
77,1986-meta.txt,fake,https://www.diariodobrasil.org/o-antagonista-descobriu-lula-cobrou-propina-e-ainda-reclamou-que-os-repasses-estavam-caindo/,141,19,3,3,0,1,2,0.0,0.126984,0.664
78,3569-meta.txt,fake,https://www.diariodobrasil.org/senador-alerta-greve-dos-caminhoneiros-pode-derrubar-o-governo/,187,31,2,6,0,0,9,0.0,0.16,0.63871
79,3376-meta.txt,fake,https://www.diariodobrasil.org/eduardo-cunha-declara-guerra-ao-grupo-globo-e-chama-colunista-de-pilantra/,401,58,3,18,8,0,32,0.0110803,0.20122,0.609418
80,2996-meta.txt,fake,https://www.diariodobrasil.org/falas-desconexasincompreensiveis-e-sem-logica-vereador-pede-que-dilma-faca-exames-neurologicos/,247,25,3,24,0,0,11,0.00904977,0.411111,0.60181
81,3591-meta.txt,fake,https://www.diariodobrasil.org/depois-do-sucesso-da-mandioca-vem-ai-a-raiz-ex-petista-quer-fundar-o-36o-partido-politico-do-pais23/,132,16,0,9,0,0,5,0.0,0.259259,0.756303
82,1442-meta.txt,fake,https://www.diariodobrasil.org/nao-e-so-a-corrupcao-que-mata-um-pais-2016-amargou-12-trilhao-de-reais-em-sonegacao-fiscal/,365,31,0,20,0,0,9,0.0,0.213235,0.571875
83,571-meta.txt,fake,https://www.diariodobrasil.org/history-channel-hitler-forjou-a-propria-morte-e-fugiu-para-a-argentina/,781,118,2,43,0,0,29,0.00572246,0.301639,0.499285
84,3573-meta.txt,fake,https://www.diariodobrasil.org/brasil-em-crise-e-deputada-comunista-usa-facebook-para-brincar-de-fazer-musiquinha-para-dilma/,146,22,4,11,0,0,9,0.00769231,0.290323,0.692308
85,1686-meta.txt,fake,https://www.diariodobrasil.org/alo-pf-filho-de-ministro-do-stf-posta-mensagem-preocupante-nas-redes-sociais/,239,37,2,8,0,0,8,0.0,0.204082,0.64878
86,192-meta.txt,fake,http://www.topfivetv.com/2017/12/anatel-afirma-que-tem-prioridade-para.html,236,35,2,16,0,0,7,0.0,0.268817,0.595122
87,71-meta.txt,fake,https://afolhabrasil.com.br/politica/aecio-chora-muito-e-tem-medo-de-ir-para-cadeia/,202,37,1,10,0,0,10,0.0,0.231707,0.68
88,2390-meta.txt,fake,https://www.diariodobrasil.org/acuado-lula-chorou-durante-reuniao-com-advogados-e-reclamou-que-foi-abandonado-pelos-artistas/,272,48,0,8,0,0,18,0.0,0.132743,0.627049
89,1546-meta.txt,fake,https://www.diariodobrasil.org/durante-sabatina-de-moraes-senadora-faz-perguntas-baseadas-em-informacoes-que-ela-leu-no-zap-zap/,204,29,0,5,3,0,17,0.0245399,0.141026,0.625767
90,1147-meta.txt,fake,https://www.diariodobrasil.org/eua-medicos-que-chegaram-perto-de-encontrar-a-cura-do-cancer-estariam-desaparecendo-misteriosamente/,394,53,2,31,0,0,23,0.00289017,0.335616,0.609827
91,1356-meta.txt,fake,https://www.diariodobrasil.org/estrategia-de-trump-sugere-que-eua-podem-atacar-a-coreia-a-qualquer-momento/,136,17,2,9,0,0,3,0.00819672,0.178571,0.672131
92,3290-meta.txt,fake,https://www.diariodobrasil.org/os-dois-ex-maridos-de-dilma-um-era-sequestrador-e-o-outro-assaltante-de-bancos-e-guerrilheiro/,1331,190,5,52,9,4,127,0.000884173,0.303879,0.492485
93,2117-meta.txt,fake,https://www.diariodobrasil.org/em-entrevista-para-a-folha-doria-volta-a-afirmar-vou-visitar-o-lula-na-cadeia-levarei-chocolates-e-um-cisne/,319,55,2,3,1,0,18,0.003663,0.119403,0.545788
94,2891-meta.txt,fake,https://www.diariodobrasil.org/crime-mtst-pratica-vandalismo-em-sao-paulo-e-coloca-a-vida-motoristas-em-risco/,133,20,0,8,0,0,4,0.00840336,0.22807,0.722689
95,825-meta.txt,fake,https://www.diariodobrasil.org/todos-os-coreanos-devem-se-tornar-um-so-vamos-varrer-a-america-da-terra/,307,42,0,22,0,0,14,0.0037037,0.243697,0.581481
96,2206-meta.txt,fake,https://www.diariodobrasil.org/dilma-nao-levara-cao-labrador-para-porto-alegre-nego-ja-havia-sido-abandonado-por-jose-dirceu-em-2005/,146,23,1,6,0,0,4,0.0,0.46,0.650406
97,2844-meta.txt,fake,https://www.diariodobrasil.org/deputado-que-tomou-decisao-maluca-de-anular-impeachment-podera-ser-afastado/,135,17,0,6,0,0,3,0.0,0.211538,0.660714
98,2738-meta.txt,fake,https://www.diariodobrasil.org/em-video-deputado-derruba-o-discurso-de-que-dilma-e-honesta/,122,21,1,5,0,0,8,0.01,0.113208,0.7
99,3259-meta.txt,fake,https://www.diariodobrasil.org/alerta-da-oms-situacao-e-gravissima-quatro-milhoes-de-pessoas-terao-zica-em-2016/,208,28,1,13,0,0,6,0.0111111,0.234568,0.694444
100,283-meta.txt,fake,https://www.diariodobrasil.org/ratinho-denunciou-artistas-que-mamavam-na-lei-rouanet-e-agora-sofre-ameacas-de-boicote27/,202,35,1,4,1,0,14,0.00591716,0.129412,0.662722
101,513-meta.txt,fake,https://www.diariodobrasil.org/vou-desfazer-tudo-o-que-foi-feito-pelo-pt-e-psdb-chega-de-direitos-humanos-cadeia-nao-e-hotel/,493,67,10,30,0,1,29,0.0,0.363636,0.642857
102,2466-meta.txt,fake,https://www.diariodobrasil.org/dilma-quer-processar-a-istoe-reportagem-mostrou-mordomias-pagas-com-dinheiro-publico-ilegais-da-filha/,373,40,1,19,0,2,16,0.00617284,0.234043,0.604938
103,621-meta.txt,fake,https://www.diariodobrasil.org/gracyanne-barbosa-explica-a-polemica-sobre-os-alugueis-atrasados-do-cantor-belo/,204,31,0,6,0,0,7,0.0,0.0864198,0.608187
104,2926-meta.txt,fake,https://www.diariodobrasil.org/whatsapp-vaza-na-rede-e-mostra-deputado-do-pmdb-afirmando-que-temer-vai-parar-a-lava-jato/,149,27,3,1,0,0,3,0.0152672,0.0985916,0.671756
105,81-meta.txt,fake,https://afolhabrasil.com.br/politica/marcela-temer-viajou-em-jato-emprestado-pelo-dono-da-friboi/,260,32,0,12,0,1,9,0.0,0.119658,0.565957
106,492-meta.txt,fake,https://www.diariodobrasil.org/facebook-deveria-remunerar-os-usuarios-para-navegarem-em-seu-site-dizem-especialistas/,663,88,8,39,0,1,47,0.00369004,0.302521,0.557196
107,1418-meta.txt,fake,https://www.diariodobrasil.org/reviravolta-no-caso-victor-policia-civil-indicia-o-cantor-sertanejo-por-lesao-corporal/,227,28,1,6,0,0,3,0.0101523,0.0978261,0.604061
108,2196-meta.txt,fake,https://www.diariodobrasil.org/o-deslavado-continua-pedindo-votos-nessas-ereicoes-municipais-e-importante-iscure-bem-a-pessoa/,75,10,0,5,0,0,6,0.0333333,0.461538,0.883333
109,1333-meta.txt,fake,https://www.diariodobrasil.org/engenheiro-diz-que-advogado-de-lula-tentou-ocultar-reforma-feita-no-sitio-eu-o-ajudei-fazer-isso/,324,49,4,9,3,0,13,0.0037037,0.153846,0.57037
110,539-meta.txt,fake,https://www.diariodobrasil.org/barroso-criamos-uma-sociedade-cheia-de-ricos-delinquentes-o-sistema-so-pune-os-pobres/,445,69,2,27,0,0,13,0.0,0.335443,0.587258
111,3073-meta.txt,fake,https://www.diariodobrasil.org/em-mais-um-audio-o-doido-xinga-stf-stj-e-todos-os-parlamentares-do-pais-de-covardes/,81,7,1,4,0,0,4,0.0144928,0.266667,0.797101
112,3062-meta.txt,fake,https://www.diariodobrasil.org/olha-a-confusao-alexandre-frota-aparece-desafiando-ciro-gomes-fdp-e-voce-seu-covarde/,149,29,1,7,1,0,12,0.0,0.237288,0.696
113,1987-meta.txt,fake,https://www.diariodobrasil.org/italianos-rechacam-possibilidade-de-dar-asilo-a-lula-sera-acomodado-junto-aos-caes-e-porcos-disse-um-morador05/,629,81,2,24,1,2,37,0.0094518,0.227074,0.523629
114,2722-meta.txt,fake,https://www.diariodobrasil.org/regime-forcado-governo-temer-cortou-ate-o-ticket-alimentacao-de-dilma/,136,16,0,8,0,0,3,0.017094,0.240741,0.675214
115,3067-meta.txt,fake,https://www.diariodobrasil.org/camara-ja-tem-maioria-de-votos-para-afundar-dilma/,71,11,1,3,0,0,4,0.0,0.222222,0.737705
116,1483-meta.txt,fake,https://www.diariodobrasil.org/dilma-ironiza-temer-e-diz-que-nao-foi-assombrada-por-fantasmas-a-situacao-dela-foi-inversa/,219,37,0,12,0,1,12,0.00564972,0.345679,0.706215
117,3223-meta.txt,fake,https://www.diariodobrasil.org/portal-de-noticias-informa-que-ex-presidente-tem-sintomas-depressivos-e-chora-pelos-cantos/,163,28,0,9,0,0,13,0.0,0.157143,0.783217
118,1687-meta.txt,fake,https://www.diariodobrasil.org/corpo-de-bombeiros-confirma-morre-teori-zavascki/,87,11,0,0,0,0,1,0.0,0.05,0.794521
119,1915-meta.txt,fake,https://www.diariodobrasil.org/acorda-brasil-o-texto-que-pode-anistiar-os-crimes-de-caixa-2/,151,18,0,12,0,0,1,0.0,0.305085,0.632812
120,2678-meta.txt,fake,https://www.diariodobrasil.org/confira-as-7-bombas-de-delcidio-do-amaral-que-estremeceram-o-palacio-do-planalto-hoje/,504,64,3,8,0,0,19,0.0,0.0776699,0.536697
121,3057-meta.txt,fake,https://www.diariodobrasil.org/alo-sergio-moro-lula-confirma-que-participara-de-manifestacao-na-av-paulista/,103,13,1,1,0,0,1,0.0,0.0909091,0.728261
122,1842-meta.txt,fake,https://www.diariodobrasil.org/governador-de-mg-e-flagrado-comprando-cuecas-de-luxo-em-shopping-de-sp-faliu-minas-e-vem-gastar-dinheiro-aqui/,95,16,0,3,0,0,5,0.0,0.210526,0.733333
123,3373-meta.txt,fake,https://www.diariodobrasil.org/em-video-imperdivel-de-1979-lula-explica-o-que-e-ser-um-comunista-profissional/,75,11,0,6,0,0,8,0.0,0.25,0.761905
124,2828-meta.txt,fake,https://www.diariodobrasil.org/gente-boa-pau-mandado-de-lula-e-dilma-tem-3-inqueritos-no-stf/,89,10,0,3,0,0,1,0.0,0.179487,0.8
125,2553-meta.txt,fake,https://www.diariodobrasil.org/dilma-elogia-soltura-de-ex-ministro-acusado-de-lesar-velhinhos-aposentados/,138,28,1,7,1,0,9,0.00819672,0.263158,0.696721
126,870-meta.txt,fake,https://www.diariodobrasil.org/mpf-diz-que-tem-novas-provas-contra-lula-um-software-da-odebrecht-que-registrava-propinas/,159,25,0,10,0,0,7,0.0,0.185714,0.673469
127,3397-meta.txt,fake,https://www.diariodobrasil.org/zuckerberg-alerta-para-bloqueio-de-redes-sociais-e-inicio-do-comunismo-no-brasil/,329,56,1,20,0,0,7,0.0,0.210145,0.479452
128,483-meta.txt,fake,https://www.diariodobrasil.org/ditador-pedofilo-e-genocida-doou-us-1-milhao-para-a-campanha-de-lula-segundo-palocci/,227,30,0,9,0,0,13,0.0207254,0.162791,0.715026
129,3118-meta.txt,fake,https://www.diariodobrasil.org/exercito-vermelho-de-lula-mst-invade-filial-da-globo-e-pratica-atos-de-vandalismo/,289,38,1,12,0,0,9,0.0,0.161017,0.662698
130,3554-meta.txt,fake,https://www.diariodobrasil.org/descaso-em-marianamg-equipe-da-globo-corta-reportagem-quando-morador-fazia-denuncia-sobre-a-vale/,116,16,0,3,0,0,5,0.0,0.105263,0.731481
